,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
248,1608747059934367745,Fri Dec 30 08:49:22 +0000 2022,0,masyarakat dukung penuh bijak,1608747059934367745,https://pbs.twimg.com/media/FlNq7PWWQAE_oT6.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747059934367745,1413405180427603972,RengginangMas
249,1608747055865896961,Fri Dec 30 08:49:21 +0000 2022,0,mantap baru bijak bantu masyarakat,1608747055865896961,https://pbs.twimg.com/media/FlNq7A1XEAARDx7.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747055865896961,1413405180427603972,RengginangMas
250,1608747053298995201,Fri Dec 30 08:49:21 +0000 2022,0,ikan dukung penuh bijak perintah maju indonesia,1608747053298995201,https://pbs.twimg.com/media/FlNq60zXwAAqQNb.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747053298995201,1413405180427603972,RengginangMas
251,1608747052904910849,Fri Dec 30 08:49:21 +0000 2022,0,masyarakat sangat senang bijak,1608747052904910849,https://pbs.twimg.com/media/FlNq60QWIAAyNja.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747052904910849,1413405180427603972,RengginangMas
252,1608747051180769280,Fri Dec 30 08:49:20 +0000 2022,0,dukung bijak perintah maju indonesia,1608747051180769280,https://pbs.twimg.com/media/FlNq6vBXkAA-D0F.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747051180769280,1413405180427603972,RengginangMas
253,1608747037893304320,Fri Dec 30 08:49:17 +0000 2022,0,dukung bijak perintah maju negara indonesia,1608747037893304320,https://pbs.twimg.com/media/FlNq58jXoAAFodR.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747037893304320,1413405180427603972,RengginangMas
254,1608747036983050240,Fri Dec 30 08:49:17 +0000 2022,0,bijak ikan banyak manfaat indonesia,1608747036983050240,https://pbs.twimg.com/media/FlNq56DWYAE0j07.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747036983050240,1413405180427603972,RengginangMas
255,1608747031794786305,Fri Dec 30 08:49:16 +0000 2022,0,yuk masyarakat dukung penuh bijak,1608747031794786305,https://pbs.twimg.com/media/FlNq5mtXoAAgFXW.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747031794786305,1413405180427603972,RengginangMas
256,1608747029257150464,Fri Dec 30 08:49:15 +0000 2022,0,dukung bijak perintah,1608747029257150464,https://pbs.twimg.com/media/FlNq5c0X0AAlMgk.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747029257150464,1413405180427603972,RengginangMas
257,1608747023137705984,Fri Dec 30 08:49:14 +0000 2022,0,apresiasi semua bijak perintah,1608747023137705984,https://pbs.twimg.com/media/FlNq5GOX0AEowI_.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747023137705984,1413405180427603972,RengginangMas
